fold_index,test_year,transaction_cost_bps,calendar_dates,valid_return_dates,missing_return_dates,held_missing_return_nodes,sharpe,mean_daily_net_return_bps,mean_daily_turnover,maximum_drawdown,cumulative_net_return
7,2016,0.0,252,252,0,26,-0.37471564297342597,-1.0335809393718085,0.2876751627070859,0.08038660055548452,-0.028051923609044738
7,2016,5.0,252,252,0,26,-0.8957615928813174,-2.471956752907238,0.2876751627070859,0.10974181262583482,-0.06266009190677413
7,2016,10.0,252,252,0,26,-1.4162375890762486,-3.910332566442668,0.2876751627070859,0.1381641776268301,-0.09604092036809397
7,2016,20.0,252,252,0,26,-2.4551470942950404,-6.787084193513527,0.2876751627070859,0.19232747797517613,-0.1592924351030639
8,2017,0.0,251,251,0,26,0.895954035350048,1.635275745604776,0.5658509359765516,0.037340009049104506,0.04080330428353918
8,2017,5.0,251,251,0,26,-0.6541086880568123,-1.1939789342779823,0.5658509359765516,0.07436310590090145,-0.030544492710143478
8,2017,10.0,251,251,0,26,-2.203568539431772,-4.023233614160741,0.5658509359765516,0.11234100228144983,-0.09701976030126602
8,2017,20.0,251,251,0,26,-5.298098044735552,-9.681742973926257,0.5658509359765516,0.21665623917556898,-0.21665623917556898
9,2018,0.0,251,251,0,17,1.2019122719784223,2.2699089781807227,0.23333051499439425,0.04017398809354478,0.05743351116585793
9,2018,5.0,251,251,0,17,0.5846274961219852,1.103256403208752,0.23333051499439425,0.049975716875257814,0.026924290841875864
9,2018,10.0,251,251,0,17,-0.03361644686736353,-0.06339617176321989,0.23333051499439425,0.060061878568963833,-0.0027083511385036507
9,2018,20.0,251,251,0,17,-1.2720860986383786,-2.396701321707163,0.23333051499439425,0.09438750177820554,-0.059443505116475226
10,2019,0.0,252,252,0,18,1.4425497710740505,3.1733960995268795,0.20906100062919514,0.03593107507352744,0.08158374927730105
10,2019,5.0,252,252,0,18,0.9671365600788084,2.1280910963809037,0.20906100062919514,0.0368839408774394,0.05347119135158107
10,2019,10.0,252,252,0,18,0.4919381206204641,1.0827860932349282,0.20906100062919514,0.0386371263917793,0.02608635978266549
10,2019,20.0,252,252,0,18,-0.4575415530772844,-1.0078239130570235,0.20906100062919514,0.0431977042745314,-0.026574686726926644
11,2020,0.0,253,253,0,25,0.597738642474762,3.336408461562227,0.2559689228964064,0.1686260551953025,0.07735563345428975
11,2020,5.0,253,253,0,25,0.36860305767585694,2.0565638470801915,0.2559689228964064,0.18651162998387938,0.043044942901710126
11,2020,10.0,253,253,0,25,0.13926995635799802,0.7767192325981593,0.2559689228964064,0.20401469471464773,0.00982239857183198
11,2020,20.0,253,253,0,25,-0.31993864777596254,-1.782969996365903,0.2559689228964064,0.2379056504875109,-0.05349463375351837
12,2021,0.0,252,252,0,11,-0.8686126214372552,-4.131185367663803,0.6730591429301375,0.17962724489433457,-0.10533146554511508
12,2021,5.0,252,252,0,11,-1.5765803787542512,-7.4964810823144905,0.6730591429301375,0.20294424746276063,-0.178117388534349
12,2021,10.0,252,252,0,11,-2.2847399489480904,-10.861776796965174,0.6730591429301375,0.2450041285646687,-0.2450041285646687
12,2021,20.0,252,252,0,11,-3.7010471338787427,-17.592368226266554,0.6730591429301375,0.3629469838751205,-0.3629469838751205
13,2022,0.0,251,251,0,25,1.58262073242931,8.944560319152437,0.4915630371380315,0.07029675574437699,0.23907362418888245
13,2022,5.0,251,251,0,25,1.147367431043014,6.4867451334622785,0.4915630371380315,0.0730131180991741,0.16498591913616933
13,2022,10.0,251,251,0,25,0.7123770667778607,4.028929947772122,0.4915630371380315,0.08092200995155441,0.09531084844761595
13,2022,20.0,251,251,0,25,-0.1566557751784307,-0.8867004236081935,0.4915630371380315,0.13132427203772123,-0.03183306220682347
14,2023,0.0,250,250,0,11,-0.2091369388126963,-0.5974946302294463,0.6007256494052708,0.05434361000714849,-0.017351249046756667
14,2023,5.0,250,250,0,11,-1.258515161418023,-3.6011228772558,0.6007256494052708,0.09491430392829836,-0.08845979815372096
14,2023,10.0,250,250,0,11,-2.3043739552455254,-6.604751124282153,0.6007256494052708,0.15915430582706247,-0.15444223357424602
14,2023,20.0,250,250,0,11,-4.384209712441012,-12.61200761833486,0.6007256494052708,0.2754562163027936,-0.2724749130668406
15,2024,0.0,252,252,0,13,-0.7342091004292263,-2.2036849766410485,0.24233806148792306,0.10943993647472638,-0.05671947555249102
15,2024,5.0,252,252,0,13,-1.13783267946582,-3.415375284080664,0.24233806148792306,0.1322263134483216,-0.08509572398334075
15,2024,10.0,252,252,0,13,-1.54135612211367,-4.627065591520279,0.24233806148792306,0.1554560043105584,-0.1126217731622815
15,2024,20.0,252,252,0,13,-2.3479650774792713,-7.050446206399509,0.24233806148792306,0.20114496453054787,-0.16522400234668633
16,2025,0.0,250,249,1,213,-0.4682333286677049,-1.516081772047171,0.2917455669836586,0.14819246297821997,-0.04019769109068916
16,2025,5.0,250,249,1,213,-0.918274521510971,-2.974809606965464,0.2917455669836586,0.1646023829089862,-0.07444599922818751
16,2025,10.0,250,249,1,213,-1.367801637612282,-4.433537441883757,0.2917455669836586,0.18069854231400806,-0.10747716644195338
16,2025,20.0,250,249,1,213,-2.2651390146618193,-7.350993111720342,0.2917455669836586,0.21685822521724285,-0.17005888124221713
